Task,Rank,Team Name,Score_day1,Score_day2,Score_day3,Score_day4,Score_day5,Score_day6,Score_day7,Average Score,Adjusted Score
1,1,BIG_forecasters,79.210,76.488,101.480,96.516,118.318,109.068,109.099,98.597,98.597
1,2,EnJoyChAnGe,83.042,75.203,103.310,94.866,113.010,108.568,109.257,98.179,98.179
1,3,harmonic,86.693,77.499,102.296,95.010,115.220,102.522,106.472,97.959,97.959
1,4,countinglab,82.318,73.983,104.240,99.843,110.483,103.168,111.102,97.877,97.877
1,5,Cameron,81.748,74.745,102.365,93.631,114.488,98.282,114.979,97.177,97.177
1,6,SmartPowerNetworks,82.065,76.598,101.902,98.437,111.627,103.256,104.828,96.959,96.959
1,7,insights,84.036,74.976,106.426,100.095,108.950,102.455,100.345,96.755,96.755
1,8,Teambath,79.665,76.399,101.575,90.177,112.718,106.094,109.404,96.576,96.576
1,9,batteries_included,83.346,74.527,103.516,92.377,105.244,107.681,107.750,96.349,96.349
1,10,BritsEnergy,80.587,74.778,102.576,90.924,112.870,103.639,106.855,96.033,96.033
1,11,The_Pretenders,79.287,75.030,103.689,87.578,110.554,95.392,105.667,93.885,93.885
1,12,lightening_voltage,85.383,71.364,107.718,95.757,104.136,99.996,85.710,92.866,92.866
1,13,dynamic24,80.284,71.669,94.569,96.455,109.668,98.162,95.204,92.287,92.287
1,14,compass,75.451,71.458,100.557,87.047,111.564,101.042,98.297,92.202,92.202
1,15,yELlow_subMArine,79.132,70.729,101.116,79.807,106.223,101.591,106.297,92.128,92.128
1,16,ESAIL,73.607,72.253,96.791,87.340,108.923,103.236,99.612,91.680,91.680
1,17,FHV,78.115,71.162,98.525,92.377,112.251,96.851,92.101,91.626,91.626
1,18,AMIDiNe_North,83.839,74.976,103.946,78.580,93.967,101.846,103.693,91.550,91.550
1,19,naive_benchmark,78.465,72.136,90.267,76.047,112.869,103.636,106.677,91.443,91.443
1,20,IACON_KIT,67.410,72.014,90.483,92.354,110.380,102.310,100.094,90.721,90.721
1,21,Titans,80.020,71.800,94.643,91.662,102.363,95.919,95.589,90.285,90.285
1,22,californians,62.415,73.919,86.147,96.987,109.147,97.603,105.527,90.249,90.249
1,23,BGBattery,76.756,72.371,102.234,92.646,98.934,92.014,89.664,89.231,89.231
1,24,Warrior_Knights,63.803,68.212,101.317,90.971,98.532,90.398,110.639,89.125,89.125
1,25,ElectricDreamForecasters,60.934,63.117,89.782,92.013,107.579,103.777,102.376,88.511,88.511
1,26,Jordan_Banting,73.715,64.385,96.025,79.093,105.169,97.487,102.819,88.385,88.385
1,27,u_cvml,75.471,69.334,91.100,88.255,99.331,94.126,90.842,86.923,86.923
1,28,energizers,70.529,63.413,85.167,87.944,89.747,89.716,101.809,84.046,84.046
1,29,TeamAlpha,53.232,64.676,92.940,82.878,104.688,89.135,100.277,83.975,83.975
1,30,untitled,60.706,54.629,90.828,76.932,106.569,95.405,99.082,83.450,83.450
1,31,WattSmoothOperators,67.522,64.390,87.892,91.321,92.364,89.362,87.088,82.848,82.848
1,32,batteryScheduling,66.825,70.120,73.099,77.640,106.360,82.980,97.756,82.112,82.112
1,33,invicta,66.639,63.294,86.326,83.143,89.073,85.035,89.761,80.467,80.467
1,34,AAAAA_Battery,57.348,64.605,75.918,82.187,99.586,89.740,93.450,80.405,80.405
1,35,teal_team,73.846,63.691,82.978,75.136,89.323,80.243,86.617,78.833,78.833
1,36,cityscience,69.209,71.709,81.527,41.895,98.649,89.252,97.530,78.539,78.539
1,37,Rana,67.157,59.553,80.819,83.049,88.434,84.721,82.468,78.029,78.029
1,38,zither,48.767,47.602,70.389,72.982,80.101,79.098,74.824,67.681,67.681
1,39,IERFC,47.551,46.281,85.098,93.306,0.000,101.280,100.219,67.676,67.676
1,40,obboylabs,80.824,75.930,88.051,44.879,91.560,103.646,100.932,83.689,66.951
1,41,TaDa,44.007,59.388,56.947,63.948,80.808,86.010,54.899,63.715,63.715
1,42,ElincoEngineering,41.927,44.613,82.881,53.284,105.793,74.526,87.119,70.021,56.017
1,43,TariqObeid,51.707,56.074,57.193,69.259,65.712,60.214,61.000,60.166,48.133
