Rank,Team Name,Score Task 1,Score Task 2,Score Task 3,Average Score,,,,,
1,Cameron,97.177,80.040,54.667,77.295,,,,,
2,countinglab,97.877,78.284,54.709,76.957,,,,,
3,Teambath,96.576,77.386,55.249,76.404,,,,,
4,harmonic,97.959,75.605,55.213,76.259,,,,,
5,EnJoyChAnGe,98.179,75.255,54.620,76.018,,,,,
6,SmartPowerNetworks,96.959,75.793,54.995,75.916,,,,,
7,BritsEnergy,96.033,76.645,52.759,75.146,,,,,
8,ESAIL,91.680,79.394,53.141,74.738,,,,,
9,Titans,90.285,79.515,53.449,74.416,,,,,
10,IACON_KIT,90.721,76.406,55.993,74.373,,,,,
11,compass,92.202,78.335,52.507,74.348,,,,,
12,yELlow_subMArine,92.128,77.967,52.628,74.241,,,,,
13,AMIDiNe_North,91.550,76.678,52.830,73.686,,,,,
14,BIG_forecasters,98.597,70.845,51.426,73.623,,,,,
15,ElectricDreamForecasters,88.511,79.512,52.223,73.416,,,,,
16,dynamic24,92.287,73.331,52.573,72.731,,,,,
17,insights,96.755,74.382,47.029,72.722,,,,,
18,FHV,91.626,69.268,54.421,71.772,,,,,
19,The_Pretenders,93.885,72.576,47.851,71.437,,,,,
20,Warrior_Knights,89.125,72.755,50.205,70.695,,,,,
21,AAAAA_Battery,80.405,77.875,52.684,70.321,,,,,
22,u_cvml,86.923,70.464,53.025,70.137,,,,,
23,naive_benchmark,91.443,69.841,47.309,69.531,,,,,
24,Jordan_Banting,88.385,67.436,52.682,69.501,,,,,
25,californians,90.249,70.637,46.339,69.075,,,,,
26,batteries_included,96.349,76.041,34.558,68.983,,,,,
27,energizers,84.046,67.157,50.452,67.218,,,,,
28,TeamAlpha,83.975,59.025,43.440,62.147,,,,,
29,cityscience,78.539,64.879,41.026,61.481,,,,,
30,IERFC,67.676,62.874,52.075,60.875,,,,,
31,obboylabs,66.951,66.109,42.872,58.644,,,,,
32,Rana,78.029,62.501,28.937,56.489,,,,,
33,zither,67.681,50.898,38.543,52.374,,,,,
34,WattSmoothOperators,82.848,54.191,19.314,52.118,,,,,
35,invicta,80.467,72.657,0.000,51.041,,,,,
36,lightening_voltage,92.866,0.000,51.290,48.052,,,,,
37,teal_team,78.833,23.542,40.161,47.512,,,,,
38,ElincoEngineering,56.017,61.079,23.372,46.822,,,,,
39,BGBattery,89.231,0.000,47.352,45.528,,,,,
40,TariqObeid,48.133,48.184,34.939,43.752,,,,,
41,untitled,83.450,0.000,47.746,43.732,,,,,
42,caleece,0.000,68.423,45.849,38.091,,,,,
43,batteryScheduling,82.112,0.000,0.000,27.371,,,,,
44,team_regulate,43.592,35.617,0.000,26.403,,,,,
45,TaDa,63.715,0.000,0.000,21.238,,,,,
46,StoreM_Troopers,44.600,0.000,0.000,14.867,,,,,
47,meaTsooN,21.619,0.000,0.000,7.206,,,,,
