datetime,charge_MW,Task,runID,runDateTime,D,k,taskForecastDemandMW,taskNetDemandMW,taskForecsatPVMW,taskBatteryNetMW,taksSoCMWh,taskBatteryDischargeMW,taskBatteryChargeMW,taskGridTopUpMW,taskChargePV,TaskChargeGrid
2019-03-10 00:00:00,0,2,2,02/03/2021 21:18,1,1,2.613157531,2.613157531,0,0,0,0,0,0,0,0
2019-03-10 00:30:00,0,2,2,02/03/2021 21:18,1,2,2.564309197,2.564309197,0,0,0,0,0,0,0,0
2019-03-10 01:00:00,0,2,2,02/03/2021 21:18,1,3,2.363005492,2.363005492,0.003142208,0,0,0,0,0,0,0
2019-03-10 01:30:00,0,2,2,02/03/2021 21:18,1,4,2.27945975,2.27945975,0.00237444,0,0,0,0,0,0,0
2019-03-10 02:00:00,0,2,2,02/03/2021 21:18,1,5,2.229174591,2.229174591,0.000712037,0,0,0,0,0,0,0
2019-03-10 02:30:00,0,2,2,02/03/2021 21:18,1,6,2.194524667,2.194524667,0.002125412,0,0,0,0,0,0,0
2019-03-10 03:00:00,0,2,2,02/03/2021 21:18,1,7,2.074848249,2.074848249,0.002236038,0,0,0,0,0,0,0
2019-03-10 03:30:00,0,2,2,02/03/2021 21:18,1,8,2.043459166,2.043459166,0.002511084,0,0,0,0,0,0,0
2019-03-10 04:00:00,0,2,2,02/03/2021 21:18,1,9,1.963706775,1.963706775,4.04716E-05,0,0,0,0,0,0,0
2019-03-10 04:30:00,0,2,2,02/03/2021 21:18,1,10,1.928593169,1.928593169,0.000433534,0,0,0,0,0,0,0
2019-03-10 05:00:00,0,2,2,02/03/2021 21:18,1,11,1.966428892,1.966428892,0,0,0,0,0,0,0,0
2019-03-10 05:30:00,0,2,2,02/03/2021 21:18,1,12,1.986387652,1.986387652,0.001627266,0,0,0,0,0,0,0
2019-03-10 06:00:00,0,2,2,02/03/2021 21:18,1,13,2.062970434,2.062970434,0.003993273,0,0,0,0,0,0,0
