datetime,charge_MW,Task,runID,runDateTime,D,k,taskForecastDemandMW,taskNetDemandMW,taskForecsatPVMW,taskBatteryNetMW,taksSoCMWh,taskBatteryDischargeMW,taskBatteryChargeMW,taskGridTopUpMW,taskChargePV,TaskChargeGrid
18/12/2019 00:00,0,3,1,07/03/2021 21:18,1,1,2.648196641,2.648196641,0,0,0,0,0,0,0,0
18/12/2019 00:30,0,3,1,07/03/2021 21:18,1,2,2.59060789,2.59060789,0,0,0,0,0,0,0,0
18/12/2019 01:00,0,3,1,07/03/2021 21:18,1,3,2.378718945,2.378718945,0,0,0,0,0,0,0,0
18/12/2019 01:30,0,3,1,07/03/2021 21:18,1,4,2.330507012,2.330507012,0,0,0,0,0,0,0,0
18/12/2019 02:00,0,3,1,07/03/2021 21:18,1,5,2.244240676,2.244240676,0,0,0,0,0,0,0,0
18/12/2019 02:30,0,3,1,07/03/2021 21:18,1,6,2.229318754,2.229318754,0,0,0,0,0,0,0,0
18/12/2019 03:00,0,3,1,07/03/2021 21:18,1,7,2.113849403,2.113849403,0,0,0,0,0,0,0,0
18/12/2019 03:30,0,3,1,07/03/2021 21:18,1,8,2.074865316,2.074865316,0,0,0,0,0,0,0,0
18/12/2019 04:00,0,3,1,07/03/2021 21:18,1,9,2.022810371,2.022810371,0,0,0,0,0,0,0,0
18/12/2019 04:30,0,3,1,07/03/2021 21:18,1,10,1.998340779,1.998340779,0,0,0,0,0,0,0,0
18/12/2019 05:00,0,3,1,07/03/2021 21:18,1,11,2.085190358,2.085190358,0,0,0,0,0,0,0,0
18/12/2019 05:30,0,3,1,07/03/2021 21:18,1,12,2.206770805,2.206770805,0,0,0,0,0,0,0,0
18/12/2019 06:00,0.003486097,3,1,07/03/2021 21:18,1,13,2.73146223,2.734948327,0.000134081,0.003486097,0.001743048,0,-0.003486097,0,-0.003486097,0
18/12/2019 06:30,0.000744641,3,1,07/03/2021 21:18,1,14,3.113663698,3.114408339,2.86E-05,0.000744641,0.002115369,0,-0.000744641,0,-0.000744641,0
18/12/2019 07:00,0,3,1,07/03/2021 21:18,1,15,3.508963583,3.508963583,0,0,0.002115369,0,0,0,0,0
18/12/2019 07:30,0.098486304,3,1,07/03/2021 21:18,1,16,3.800495884,3.898982189,0.003787935,0.098486304,0.051358521,0,-0.098486304,0,-0.098486304,0
18/12/2019 08:00,0.157109141,3,1,07/03/2021 21:18,1,17,3.902519606,4.059628748,0.006042659,0.157109141,0.129913092,0,-0.157109141,0,-0.157109141,0
18/12/2019 08:30,0.329944268,3,1,07/03/2021 21:18,1,18,3.887548477,4.217492745,0.050760657,0.329944268,0.294885226,0,-0.329944268,0,-0.329944268,0
18/12/2019 09:00,0.403088194,3,1,07/03/2021 21:18,1,19,3.962508288,4.365596482,0.062013568,0.403088194,0.496429323,0,-0.403088194,0,-0.403088194,0
18/12/2019 09:30,0.511159529,3,1,07/03/2021 21:18,1,20,3.95789714,4.469056669,0.078639927,0.511159529,0.752009087,0,-0.511159529,0,-0.511159529,0
18/12/2019 10:00,1.044975549,3,1,07/03/2021 21:18,1,21,3.947767966,4.992743515,0.160765469,1.044975549,1.274496861,0,-1.044975549,0,-1.044975549,0
18/12/2019 10:30,1.083473518,3,1,07/03/2021 21:18,1,22,3.919168462,5.002641981,0.166688234,1.083473518,1.816233621,0,-1.083473518,0,-1.083473518,0
18/12/2019 11:00,1.181420714,3,1,07/03/2021 21:18,1,23,3.864941308,5.046362022,0.181757033,1.181420714,2.406943977,0,-1.181420714,0,-1.181420714,0
18/12/2019 11:30,1.121008143,3,1,07/03/2021 21:18,1,24,3.872969498,4.993977641,0.172462791,1.121008143,2.967448049,0,-1.121008143,0,-1.121008143,0
18/12/2019 12:00,1.572867975,3,1,07/03/2021 21:18,1,25,3.898188874,5.471056849,0.241979688,1.572867975,3.753882036,0,-1.572867975,0,-1.572867975,0
18/12/2019 12:30,1.312683225,3,1,07/03/2021 21:18,1,26,3.894160958,5.206844183,0.201951265,1.312683225,4.410223649,0,-1.312683225,0,-1.312683225,0
18/12/2019 13:00,1.016933739,3,1,07/03/2021 21:18,1,27,3.870753501,4.88768724,0.156451344,1.016933739,4.918690518,0,-1.016933739,0,-1.016933739,0
18/12/2019 13:30,0.847220525,3,1,07/03/2021 21:18,1,28,3.857494389,4.704714914,0.130341619,0.847220525,5.342300781,0,-0.847220525,0,-0.847220525,0
18/12/2019 14:00,0.622443214,3,1,07/03/2021 21:18,1,29,3.816478709,4.438921923,0.095760494,0.622443214,5.653522388,0,-0.622443214,0,-0.622443214,0
18/12/2019 14:30,0.35954529,3,1,07/03/2021 21:18,1,30,3.82916531,4.188710601,0.05531466,0.35954529,5.833295033,0,-0.35954529,0,-0.35954529,0
18/12/2019 15:00,0.333409934,3,1,07/03/2021 21:18,1,31,3.839444675,4.125459783,0.044002324,0.333409934,6,0,-0.286015108,-0.047394826,-0.286015108,0
18/12/2019 15:30,-0.427902002,3,1,07/03/2021 21:18,1,32,3.934229829,3.506327827,0,-0.427902002,5.786048999,0.427902002,0,0,0,0
18/12/2019 16:00,-0.92206327,3,1,07/03/2021 21:18,1,33,4.41399805,3.491934781,0.011888742,-0.92206327,5.325017364,0.92206327,0,0,0,0
