datetime,charge_MW,Task,runID,runDateTime,D,k,taskForecastDemandMW,taskNetDemandMW,taskForecsatPVMW,taskBatteryNetMW,taksSoCMWh,taskBatteryDischargeMW,taskBatteryChargeMW,taskGridTopUpMW,taskChargePV,TaskChargeGrid
2019-12-18 00:00:00,0,3,3,12/03/2021 10:17,1,1,2.648196641,2.648196641,0,0,0,0,0,0,0,0
2019-12-18 00:30:00,0,3,3,12/03/2021 10:17,1,2,2.59060789,2.59060789,0,0,0,0,0,0,0,0
2019-12-18 01:00:00,0,3,3,12/03/2021 10:17,1,3,2.378718945,2.378718945,0,0,0,0,0,0,0,0
2019-12-18 01:30:00,0,3,3,12/03/2021 10:17,1,4,2.330507012,2.330507012,0,0,0,0,0,0,0,0
2019-12-18 02:00:00,0,3,3,12/03/2021 10:17,1,5,2.244240676,2.244240676,0,0,0,0,0,0,0,0
2019-12-18 02:30:00,0,3,3,12/03/2021 10:17,1,6,2.229318754,2.229318754,0,0,0,0,0,0,0,0
2019-12-18 03:00:00,0,3,3,12/03/2021 10:17,1,7,2.113849403,2.113849403,0,0,0,0,0,0,0,0
2019-12-18 03:30:00,0,3,3,12/03/2021 10:17,1,8,2.074865316,2.074865316,0,0,0,0,0,0,0,0
2019-12-18 04:00:00,0,3,3,12/03/2021 10:17,1,9,2.022810371,2.022810371,0,0,0,0,0,0,0,0
2019-12-18 04:30:00,0,3,3,12/03/2021 10:17,1,10,1.998340779,1.998340779,0,0,0,0,0,0,0,0
2019-12-18 05:00:00,0,3,3,12/03/2021 10:17,1,11,2.085190358,2.085190358,0,0,0,0,0,0,0,0
2019-12-18 05:30:00,0,3,3,12/03/2021 10:17,1,12,2.206770805,2.206770805,0,0,0,0,0,0,0,0
2019-12-18 06:00:00,-0.000892977,3,3,12/03/2021 10:17,1,13,2.73146223,2.732355207,0.000134081,0.000892977,0.000446489,0,-0.000892977,0,-0.000892977,0
2019-12-18 06:30:00,-0.000190743,3,3,12/03/2021 10:17,1,14,3.113663698,3.113854441,2.864E-05,0.000190743,0.00054186,0,-0.000190743,0,-0.000190743,0
2019-12-18 07:00:00,0,3,3,12/03/2021 10:17,1,15,3.508963583,3.508963583,0,0,0.00054186,0,0,0,0,0
2019-12-18 07:30:00,-0.025227646,3,3,12/03/2021 10:17,1,16,3.800495884,3.82572353,0.003787935,0.025227646,0.013155683,0,-0.025227646,0,-0.025227646,0
2019-12-18 08:00:00,-0.040244111,3,3,12/03/2021 10:17,1,17,3.902519606,3.942763717,0.006042659,0.040244111,0.033277738,0,-0.040244111,0,-0.040244111,0
2019-12-18 08:30:00,-0.338065973,3,3,12/03/2021 10:17,1,18,3.887548477,4.22561445,0.050760657,0.338065973,0.202310725,0,-0.338065973,0,-0.338065973,0
2019-12-18 09:00:00,-0.413010365,3,3,12/03/2021 10:17,1,19,3.962508288,4.375518653,0.062013568,0.413010365,0.408815907,0,-0.413010365,0,-0.413010365,0
2019-12-18 09:30:00,-0.523741917,3,3,12/03/2021 10:17,1,20,3.95789714,4.481639057,0.078639927,0.523741917,0.670686866,0,-0.523741917,0,-0.523741917,0
2019-12-18 10:00:00,-1.070698024,3,3,12/03/2021 10:17,1,21,3.947767966,5.01846599,0.160765469,1.070698024,1.206035878,0,-1.070698024,0,-1.070698024,0
2019-12-18 10:30:00,-1.110143636,3,3,12/03/2021 10:17,1,22,3.919168462,5.029312098,0.166688234,1.110143636,1.761107695,0,-1.110143636,0,-1.110143636,0
2019-12-18 11:00:00,-1.210501839,3,3,12/03/2021 10:17,1,23,3.864941308,5.075443147,0.181757033,1.210501839,2.366358615,0,-1.210501839,0,-1.210501839,0
2019-12-18 11:30:00,-1.148602189,3,3,12/03/2021 10:17,1,24,3.872969498,5.021571687,0.172462791,1.148602189,2.94065971,0,-1.148602189,0,-1.148602189,0
2019-12-18 12:00:00,-1.611584725,3,3,12/03/2021 10:17,1,25,3.898188874,5.509773599,0.241979688,1.611584725,3.746452072,0,-1.611584725,0,-1.611584725,0
2019-12-18 12:30:00,-1.344995427,3,3,12/03/2021 10:17,1,26,3.894160958,5.239156386,0.201951265,1.344995427,4.418949786,0,-1.344995427,0,-1.344995427,0
2019-12-18 13:00:00,-1.041965954,3,3,12/03/2021 10:17,1,27,3.870753501,4.912719455,0.156451344,1.041965954,4.939932763,0,-1.041965954,0,-1.041965954,0
2019-12-18 13:30:00,-0.868075184,3,3,12/03/2021 10:17,1,28,3.857494389,4.725569573,0.130341619,0.868075184,5.373970355,0,-0.868075184,0,-0.868075184,0
2019-12-18 14:00:00,-0.637764893,3,3,12/03/2021 10:17,1,29,3.816478709,4.454243602,0.095760494,0.637764893,5.692852801,0,-0.637764893,0,-0.637764893,0
2019-12-18 14:30:00,-0.368395636,3,3,12/03/2021 10:17,1,30,3.82916531,4.197560946,0.05531466,0.368395636,5.87705062,0,-0.368395636,0,-0.368395636,0
2019-12-18 15:00:00,-0.245898761,3,3,12/03/2021 10:17,1,31,3.839444675,4.085343436,0.044002324,0.245898761,6,0,-0.245898761,0,-0.245898761,0
2019-12-18 15:30:00,0.415028078,3,3,12/03/2021 10:17,1,32,3.934229829,3.519201751,0,-0.415028078,5.792485961,0.415028078,0,0,0,0
2019-12-18 16:00:00,0.91878471,3,3,12/03/2021 10:17,1,33,4.41399805,3.49521334,0.011888742,-0.91878471,5.333093606,0.91878471,0,0,0,0
2019-12-18 16:30:00,1.266452033,3,3,12/03/2021 10:17,1,34,4.745109787,3.478657753,0,-1.266452033,4.699867589,1.266452033,0,0,0,0
2019-12-18 17:00:00,1.613999629,3,3,12/03/2021 10:17,1,35,5.076107497,3.462107868,0,-1.613999629,3.892867775,1.613999629,0,0,0,0
2019-12-18 17:30:00,1.576214437,3,3,12/03/2021 10:17,1,36,5.0401216,3.463907163,0,-1.576214437,3.104760557,1.576214437,0,0,0,0
2019-12-18 18:00:00,1.540892339,3,3,12/03/2021 10:17,1,37,5.006481507,3.465589167,0.00038591,-1.540892339,2.334314387,1.540892339,0,0,0,0
2019-12-18 18:30:00,1.359999526,3,3,12/03/2021 10:17,1,38,4.834202636,3.474203111,0,-1.359999526,1.654314624,1.359999526,0,0,0,0
