datetime,charge_MW,Task,runID,runDateTime,D,k,taskForecastDemandMW,taskNetDemandMW,taskForecsatPVMW,taskBatteryNetMW,taksSoCMWh,taskBatteryDischargeMW,taskBatteryChargeMW,taskGridTopUpMW,taskChargePV,TaskChargeGrid
2020-07-03 00:00:00,0,4,2,12/03/2021 20:50,1,1,1.606046052,1.606046052,0,0,0,0,0,0,0,0
2020-07-03 00:30:00,0,4,2,12/03/2021 20:50,1,2,1.544495464,1.544495464,0,0,0,0,0,0,0,0
2020-07-03 01:00:00,0,4,2,12/03/2021 20:50,1,3,1.468694515,1.468694515,0,0,0,0,0,0,0,0
2020-07-03 01:30:00,0,4,2,12/03/2021 20:50,1,4,1.419904585,1.419904585,0,0,0,0,0,0,0,0
2020-07-03 02:00:00,0,4,2,12/03/2021 20:50,1,5,1.416997563,1.416997563,0,0,0,0,0,0,0,0
2020-07-03 02:30:00,0,4,2,12/03/2021 20:50,1,6,1.384444971,1.384444971,0,0,0,0,0,0,0,0
2020-07-03 03:00:00,0,4,2,12/03/2021 20:50,1,7,1.382308554,1.382308554,0,0,0,0,0,0,0,0
2020-07-03 03:30:00,0,4,2,12/03/2021 20:50,1,8,1.362350597,1.362350597,0,0,0,0,0,0,0,0
2020-07-03 04:00:00,0,4,2,12/03/2021 20:50,1,9,1.417349022,1.417349022,0.031165161,0,0,0,0,0,0,0
2020-07-03 04:30:00,0,4,2,12/03/2021 20:50,1,10,1.52335906,1.52335906,0.031165161,0,0,0,0,0,0,0
2020-07-03 05:00:00,0,4,2,12/03/2021 20:50,1,11,1.848278339,1.848278339,0.102934917,0,0,0,0,0,0,0
2020-07-03 05:30:00,0,4,2,12/03/2021 20:50,1,12,2.107971384,2.107971384,0.178658468,0,0,0,0,0,0,0
2020-07-03 06:00:00,-0.162847687,4,2,12/03/2021 20:50,1,13,2.498354944,2.661202631,0.397189481,0.162847687,0.081423844,0,-0.162847687,0,-0.162847687,0
2020-07-03 06:30:00,-0.271992749,4,2,12/03/2021 20:50,1,14,2.607254019,2.879246768,0.663396948,0.271992749,0.217420218,0,-0.271992749,0,-0.271992749,0
2020-07-03 07:00:00,-0.392847584,4,2,12/03/2021 20:50,1,15,2.6769153,3.069762885,0.95816484,0.392847584,0.41384401,0,-0.392847584,0,-0.392847584,0
2020-07-03 07:30:00,-0.566551394,4,2,12/03/2021 20:50,1,16,2.659692359,3.226243753,1.381832669,0.566551394,0.697119707,0,-0.566551394,0,-0.566551394,0
2020-07-03 08:00:00,-0.544868125,4,2,12/03/2021 20:50,1,17,2.640472437,3.185340562,1.328946647,0.544868125,0.96955377,0,-0.544868125,0,-0.544868125,0
2020-07-03 08:30:00,-0.635252769,4,2,12/03/2021 20:50,1,18,2.599980172,3.23523294,1.549396996,0.635252769,1.287180154,0,-0.635252769,0,-0.635252769,0
2020-07-03 09:00:00,-0.708465831,4,2,12/03/2021 20:50,1,19,2.492726988,3.201192819,1.727965441,0.708465831,1.64141307,0,-0.708465831,0,-0.708465831,0
2020-07-03 09:30:00,-0.696546009,4,2,12/03/2021 20:50,1,20,2.434032996,3.130579005,1.698892705,0.696546009,1.989686074,0,-0.696546009,0,-0.696546009,0
2020-07-03 10:00:00,-0.696700129,4,2,12/03/2021 20:50,1,21,2.477954639,3.174654768,1.699268608,0.696700129,2.338036139,0,-0.696700129,0,-0.696700129,0
2020-07-03 10:30:00,-0.686874334,4,2,12/03/2021 20:50,1,22,2.449368903,3.136243237,1.675303255,0.686874334,2.681473306,0,-0.686874334,0,-0.686874334,0
2020-07-03 11:00:00,-0.756450936,4,2,12/03/2021 20:50,1,23,2.439246983,3.195697919,1.845002283,0.756450936,3.059698774,0,-0.756450936,0,-0.756450936,0
2020-07-03 11:30:00,-0.794949342,4,2,12/03/2021 20:50,1,24,2.411548863,3.206498205,1.938900834,0.794949342,3.457173445,0,-0.794949342,0,-0.794949342,0
2020-07-03 12:00:00,-0.837868928,4,2,12/03/2021 20:50,1,25,2.27851212,3.116381048,2.043582751,0.837868928,3.876107909,0,-0.837868928,0,-0.837868928,0
2020-07-03 12:30:00,-0.837970717,4,2,12/03/2021 20:50,1,26,2.221143987,3.059114704,2.043831017,0.837970717,4.295093267,0,-0.837970717,0,-0.837970717,0
2020-07-03 13:00:00,-0.845233425,4,2,12/03/2021 20:50,1,27,2.153999399,2.999232824,2.06154494,0.845233425,4.71770998,0,-0.845233425,0,-0.845233425,0
2020-07-03 13:30:00,-0.845270968,4,2,12/03/2021 20:50,1,28,2.143255148,2.988526116,2.061636507,0.845270968,5.140345464,0,-0.845270968,0,-0.845270968,0
2020-07-03 14:00:00,-0.819892018,4,2,12/03/2021 20:50,1,29,2.186965917,3.006857936,1.99973663,0.819892018,5.550291473,0,-0.819892018,0,-0.819892018,0
2020-07-03 14:30:00,-0.771473834,4,2,12/03/2021 20:50,1,30,2.305186415,3.076660249,1.881643498,0.771473834,5.93602839,0,-0.771473834,0,-0.771473834,0
2020-07-03 15:00:00,-0.127943219,4,2,12/03/2021 20:50,1,31,2.721040862,2.848984082,0.893704794,0.127943219,6,0,-0.127943219,0,-0.127943219,0
2020-07-03 15:30:00,1.070935433,4,2,12/03/2021 20:50,1,32,2.907541915,1.836606482,0.838848672,-1.070935433,5.464532283,1.070935433,0,0,0,0
2020-07-03 16:00:00,1.127402642,4,2,12/03/2021 20:50,1,33,2.962364448,1.834961806,0.495364333,-1.127402642,4.900830962,1.127402642,0,0,0,0
2020-07-03 16:30:00,1.283260488,4,2,12/03/2021 20:50,1,34,3.113682745,1.830422257,0.475158729,-1.283260488,4.259200718,1.283260488,0,0,0,0
2020-07-03 17:00:00,1.302889223,4,2,12/03/2021 20:50,1,35,3.132739769,1.829850546,0.331910009,-1.302889223,3.607756107,1.302889223,0,0,0,0
2020-07-03 17:30:00,1.277049863,4,2,12/03/2021 20:50,1,36,3.107653012,1.830603149,0.186233382,-1.277049863,2.969231175,1.277049863,0,0,0,0
2020-07-03 18:00:00,1.174818079,4,2,12/03/2021 20:50,1,37,3.008398853,1.833580774,0.163994138,-1.174818079,2.381822136,1.174818079,0,0,0,0
2020-07-03 18:30:00,1.13506183,4,2,12/03/2021 20:50,1,38,2.969800553,1.834738723,0.076115707,-1.13506183,1.814291221,1.13506183,0,0,0,0
2020-07-03 19:00:00,1.062135598,4,2,12/03/2021 20:50,1,39,2.898998385,1.836862788,0.035738314,-1.062135598,1.283223422,1.062135598,0,0,0,0
2020-07-03 19:30:00,0.987068677,4,2,12/03/2021 20:50,1,40,2.82611788,1.839049203,0.025607879,-0.987068677,0.789689084,0.987068677,0,0,0,0
2020-07-03 20:00:00,0.829196039,4,2,12/03/2021 20:50,1,41,2.672843474,1.843647435,0,-0.829196039,0.375091065,0.829196039,0,0,0,0
2020-07-03 20:30:00,0.750182129,4,2,12/03/2021 20:50,1,42,2.59613094,1.845948811,0,-0.750182129,2.33147E-15,0.750182129,0,0,0,0
2020-07-03 21:00:00,0,4,2,12/03/2021 20:50,1,43,2.464649516,2.464649516,0,0,2.33147E-15,0,0,0,0,0
2020-07-03 21:30:00,0,4,2,12/03/2021 20:50,1,44,2.235776169,2.235776169,0,0,2.33147E-15,0,0,0,0,0
2020-07-03 22:00:00,0,4,2,12/03/2021 20:50,1,45,2.001985044,2.001985044,0,0,2.33147E-15,0,0,0,0,0
2020-07-03 22:30:00,0,4,2,12/03/2021 20:50,1,46,1.798971224,1.798971224,0,0,2.33147E-15,0,0,0,0,0
2020-07-03 23:00:00,0,4,2,12/03/2021 20:50,1,47,1.705282011,1.705282011,0,0,2.33147E-15,0,0,0,0,0
2020-07-03 23:30:00,0,4,2,12/03/2021 20:50,1,48,1.602128675,1.602128675,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 00:00:00,0,4,2,12/03/2021 20:50,2,1,1.603817442,1.603817442,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 00:30:00,0,4,2,12/03/2021 20:50,2,2,1.537901135,1.537901135,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 01:00:00,0,4,2,12/03/2021 20:50,2,3,1.468740206,1.468740206,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 01:30:00,0,4,2,12/03/2021 20:50,2,4,1.415516038,1.415516038,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 02:00:00,0,4,2,12/03/2021 20:50,2,5,1.404730822,1.404730822,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 02:30:00,0,4,2,12/03/2021 20:50,2,6,1.373864065,1.373864065,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 03:00:00,0,4,2,12/03/2021 20:50,2,7,1.374151689,1.374151689,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 03:30:00,0,4,2,12/03/2021 20:50,2,8,1.357408103,1.357408103,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 04:00:00,0,4,2,12/03/2021 20:50,2,9,1.379647522,1.379647522,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 04:30:00,0,4,2,12/03/2021 20:50,2,10,1.462806649,1.462806649,0,0,2.33147E-15,0,0,0,0,0
2020-07-04 05:00:00,0,4,2,12/03/2021 20:50,2,11,1.624423003,1.624423003,0.045643474,0,2.33147E-15,0,0,0,0,0
2020-07-04 05:30:00,0,4,2,12/03/2021 20:50,2,12,1.732110749,1.732110749,0.045643474,0,2.33147E-15,0,0,0,0,0
2020-07-04 06:00:00,-0.098076999,4,2,12/03/2021 20:50,2,13,2.001983955,2.100060954,0.204327082,0.098076999,0.0490385,0,-0.098076999,0,-0.098076999,0
2020-07-04 06:30:00,-0.21164919,4,2,12/03/2021 20:50,2,14,2.232637449,2.444286639,0.440935812,0.21164919,0.154863095,0,-0.21164919,0,-0.21164919,0
2020-07-04 07:00:00,-0.258046694,4,2,12/03/2021 20:50,2,15,2.54103356,2.799080255,0.53759728,0.258046694,0.283886442,0,-0.258046694,0,-0.258046694,0
2020-07-04 07:30:00,-0.322054933,4,2,12/03/2021 20:50,2,16,2.619091836,2.941146769,0.670947777,0.322054933,0.444913908,0,-0.322054933,0,-0.322054933,0
2020-07-04 08:00:00,-0.377040954,4,2,12/03/2021 20:50,2,17,2.754561209,3.131602163,0.785501988,0.377040954,0.633434386,0,-0.377040954,0,-0.377040954,0
2020-07-04 08:30:00,-0.455441127,4,2,12/03/2021 20:50,2,18,2.732615405,3.188056532,0.948835681,0.455441127,0.861154949,0,-0.455441127,0,-0.455441127,0
2020-07-04 09:00:00,-0.743000718,4,2,12/03/2021 20:50,2,19,2.663831258,3.406831976,1.547918162,0.743000718,1.232655308,0,-0.743000718,0,-0.743000718,0
