rawDemand_MW,rawIrradiance_Wm_2,raPV_power_mw,rawPanel_temp_C,dateTimeUTC,dateTimeLocal,year,monthName,dayOfWeek,hourNumber,settlementPeriod,timeofDayLocal,bankHoliday,workingDay
2.19,0,0,7.05,2017-11-03 00:00:00.0000000,2017-11-03 00:00:00.0000000,2017,Nov,Fri,0,14689,2021-01-31 00:00:00.0000000,NOT HOLIDAY,WD
2.14,0,0,7.38,2017-11-03 00:30:00.0000000,2017-11-03 00:30:00.0000000,2017,Nov,Fri,0,14690,2021-01-31 00:30:00.0000000,NOT HOLIDAY,WD
2.01,0,0,7.7,2017-11-03 01:00:00.0000000,2017-11-03 01:00:00.0000000,2017,Nov,Fri,0,14691,2021-01-31 01:00:00.0000000,NOT HOLIDAY,WD
1.87,0,0,7.48,2017-11-03 01:30:00.0000000,2017-11-03 01:30:00.0000000,2017,Nov,Fri,0,14692,2021-01-31 01:30:00.0000000,NOT HOLIDAY,WD
1.86,0,0,7.2,2017-11-03 02:00:00.0000000,2017-11-03 02:00:00.0000000,2017,Nov,Fri,0,14693,2021-01-31 02:00:00.0000000,NOT HOLIDAY,WD
1.75,0,0,7.28,2017-11-03 02:30:00.0000000,2017-11-03 02:30:00.0000000,2017,Nov,Fri,0,14694,2021-01-31 02:30:00.0000000,NOT HOLIDAY,WD
1.72,0,0,7.97,2017-11-03 03:00:00.0000000,2017-11-03 03:00:00.0000000,2017,Nov,Fri,0,14695,2021-01-31 03:00:00.0000000,NOT HOLIDAY,WD
1.62,0,0,8.29,2017-11-03 03:30:00.0000000,2017-11-03 03:30:00.0000000,2017,Nov,Fri,0,14696,2021-01-31 03:30:00.0000000,NOT HOLIDAY,WD
1.62,0,0,7.85,2017-11-03 04:00:00.0000000,2017-11-03 04:00:00.0000000,2017,Nov,Fri,0,14697,2021-01-31 04:00:00.0000000,NOT HOLIDAY,WD
1.6,0,0,7.68,2017-11-03 04:30:00.0000000,2017-11-03 04:30:00.0000000,2017,Nov,Fri,0,14698,2021-01-31 04:30:00.0000000,NOT HOLIDAY,WD
1.69,0,0,8.26,2017-11-03 05:00:00.0000000,2017-11-03 05:00:00.0000000,2017,Nov,Fri,0,14699,2021-01-31 05:00:00.0000000,NOT HOLIDAY,WD
1.9,0,0,8.45,2017-11-03 05:30:00.0000000,2017-11-03 05:30:00.0000000,2017,Nov,Fri,0,14700,2021-01-31 05:30:00.0000000,NOT HOLIDAY,WD
2.32,0,0,8.77,2017-11-03 06:00:00.0000000,2017-11-03 06:00:00.0000000,2017,Nov,Fri,0,14701,2021-01-31 06:00:00.0000000,NOT HOLIDAY,WD
2.78,0.06,0,7.8,2017-11-03 06:30:00.0000000,2017-11-03 06:30:00.0000000,2017,Nov,Fri,0,14702,2021-01-31 06:30:00.0000000,NOT HOLIDAY,WD
3.35,8.48,0.02,6.84,2017-11-03 07:00:00.0000000,2017-11-03 07:00:00.0000000,2017,Nov,Fri,0,14703,2021-01-31 07:00:00.0000000,NOT HOLIDAY,WD
3.61,57.03,0.21,8.26,2017-11-03 07:30:00.0000000,2017-11-03 07:30:00.0000000,2017,Nov,Fri,0,14704,2021-01-31 07:30:00.0000000,NOT HOLIDAY,WD
3.5,172.18,0.58,10.28,2017-11-03 08:00:00.0000000,2017-11-03 08:00:00.0000000,2017,Nov,Fri,0,14705,2021-01-31 08:00:00.0000000,NOT HOLIDAY,WD
3.38,199.01,0.77,14.9,2017-11-03 08:30:00.0000000,2017-11-03 08:30:00.0000000,2017,Nov,Fri,0,14706,2021-01-31 08:30:00.0000000,NOT HOLIDAY,WD
